Time,T1,T2,Q1,Q2
139.0,35.304,25.41,60.0,0.0
140.0,35.4,25.41,60.0,0.0
141.0,35.4,25.41,60.0,0.0
142.0,35.497,25.41,60.0,0.0
143.01,35.658,25.378,60.0,0.0
144.01,35.723,25.41,60.0,0.0
145.01,35.755,25.41,60.0,0.0
146.01,35.916,25.475,60.0,0.0
147.01,36.045,25.442,60.0,0.0
148.01,36.045,25.507,60.0,0.0
149.0,36.109,25.636,60.0,0.0
150.01,36.367,25.668,60.0,0.0
151.01,36.367,25.732,60.0,0.0
152.0,36.399,25.732,60.0,0.0
153.0,36.657,25.732,60.0,0.0
154.0,36.689,25.732,60.0,0.0
155.01,36.722,25.732,60.0,0.0
156.01,36.883,25.732,60.0,0.0
157.01,37.012,25.732,60.0,0.0
158.0,37.012,25.797,60.0,0.0
159.0,37.044,25.894,60.0,0.0
160.0,37.302,25.926,60.0,0.0
161.0,37.334,25.958,60.0,0.0
162.0,37.334,26.055,60.0,0.0
163.0,37.398,26.055,60.0,0.0
164.0,37.592,26.055,60.0,0.0
165.0,37.656,26.055,60.0,0.0
166.01,37.656,26.055,60.0,0.0
167.0,37.656,26.055,60.0,0.0
168.01,37.882,26.055,60.0,0.0
169.0,37.979,26.055,60.0,0.0
170.0,37.979,26.216,60.0,0.0
171.0,38.011,26.248,60.0,0.0
172.01,38.107,26.248,60.0,0.0
173.0,38.301,26.345,60.0,0.0
174.0,38.301,26.377,60.0,0.0
175.0,38.365,26.377,60.0,0.0
176.0,38.623,26.377,60.0,0.0
177.0,38.623,26.377,60.0,0.0
178.0,38.623,26.377,60.0,0.0
179.0,38.623,26.409,60.0,0.0
180.0,38.913,26.377,60.0,0.0
181.0,38.945,26.506,60.0,0.0
182.01,38.945,26.538,60.0,0.0
183.0,38.978,26.635,60.0,0.0
184.01,39.203,26.699,60.0,0.0
185.0,39.268,26.699,60.0,0.0
186.0,39.268,26.699,60.0,0.0
187.01,39.268,26.699,60.0,0.0
188.0,39.268,26.699,60.0,0.0
189.0,39.429,26.699,60.0,0.0
190.0,39.59,26.731,60.0,0.0
191.0,39.59,26.699,60.0,0.0
192.01,39.59,26.796,60.0,0.0
193.0,39.59,26.86,60.0,0.0
194.01,39.622,26.893,60.0,0.0
195.0,39.88,26.957,60.0,0.0
196.01,39.912,27.021,60.0,0.0
197.0,39.912,27.021,60.0,0.0
198.0,39.912,27.021,60.0,0.0
199.0,40.041,27.021,60.0,0.0
200.0,40.202,27.021,60.0,0.0
201.0,40.234,27.021,60.0,0.0
202.0,40.234,27.021,60.0,0.0
203.0,40.267,27.021,60.0,0.0
204.0,40.363,27.118,60.0,0.0
205.0,40.524,27.247,60.0,0.0
206.0,40.557,27.312,60.0,0.0
207.0,40.589,27.344,60.0,0.0
208.0,40.557,27.344,60.0,0.0
209.0,40.782,27.344,60.0,0.0
210.0,40.814,27.344,60.0,0.0
211.0,40.879,27.344,60.0,0.0
212.0,40.879,27.344,60.0,0.0
213.0,40.879,27.408,60.0,0.0
214.0,41.169,27.344,60.0,0.0
215.0,41.201,27.376,60.0,0.0
216.0,41.201,27.505,60.0,0.0
217.0,41.201,27.634,60.0,0.0
218.0,41.201,27.666,60.0,0.0
219.0,41.362,27.666,60.0,0.0
220.0,41.427,27.666,60.0,0.0
221.0,41.523,27.666,60.0,0.0
222.0,41.523,27.666,60.0,0.0
223.0,41.523,27.698,60.0,0.0
224.0,41.523,27.666,60.0,0.0
225.0,41.556,27.698,60.0,0.0
226.0,41.749,27.763,60.0,0.0
227.01,41.813,27.698,60.0,0.0
228.0,41.846,27.859,60.0,0.0
229.01,41.846,27.924,60.0,0.0
230.01,41.878,27.956,60.0,0.0
231.01,41.942,27.988,60.0,0.0
232.01,42.168,27.988,60.0,0.0
233.01,42.168,27.988,60.0,0.0
234.0,42.168,27.988,60.0,0.0
235.0,42.168,27.988,60.0,0.0
236.01,42.168,27.988,60.0,0.0
237.01,42.232,28.053,60.0,0.0
238.0,42.297,28.085,60.0,0.0
239.01,42.49,28.085,60.0,0.0
240.01,42.49,28.149,60.0,0.0
241.01,42.49,28.214,60.0,0.0
242.0,42.49,28.311,60.0,0.0
243.0,42.522,28.311,60.0,0.0
244.01,42.49,28.311,60.0,0.0
245.01,42.716,28.311,60.0,0.0
246.01,42.748,28.311,60.0,0.0
247.01,42.813,28.311,60.0,0.0
248.01,42.813,28.311,60.0,0.0
249.01,42.813,28.311,60.0,0.0
250.0,42.813,28.311,60.0,0.0
251.01,42.974,28.311,60.0,0.0
252.0,43.135,28.343,60.0,0.0
253.0,43.135,28.439,60.0,0.0
254.01,43.135,28.568,60.0,0.0
255.01,43.135,28.601,60.0,0.0
256.01,43.199,28.633,60.0,0.0
257.01,43.425,28.633,60.0,0.0
258.01,43.36,28.633,60.0,0.0
259.01,43.457,28.633,60.0,0.0
260.01,43.457,28.633,60.0,0.0
261.01,43.457,28.633,60.0,0.0
262.0,43.457,28.633,60.0,0.0
263.01,43.457,28.665,60.0,0.0
264.0,43.489,28.665,60.0,0.0
265.0,43.521,28.697,60.0,0.0
266.0,43.779,28.826,60.0,0.0
267.0,43.779,28.955,60.0,0.0
268.0,43.779,28.955,60.0,0.0
269.0,43.779,28.955,60.0,0.0
270.0,43.779,28.955,60.0,0.0
271.0,43.779,28.955,60.0,0.0
272.0,43.812,28.955,60.0,0.0
273.0,43.876,28.955,60.0,0.0
274.01,44.037,28.955,60.0,0.0
275.0,44.102,28.955,60.0,0.0
276.01,44.102,28.955,60.0,0.0
277.0,44.102,28.955,60.0,0.0
278.01,44.102,28.987,60.0,0.0
279.01,44.102,29.02,60.0,0.0
280.01,44.102,29.116,60.0,0.0
281.0,44.102,29.052,60.0,0.0
